Identifier,Database,Database Identifier
CHENDI00001,chebi,CHEBI:134988
CHENDI00001,drugbank,DB09247
CHENDI00001,chembl.compound,CHEMBL91238
CHENDI00002,chebi,CHEBI:5958
CHENDI00002,drugbank,DB04818
CHENDI00002,pubchem.compund,3748
CHENDI00003,chebi,CHEBI:93635
CHENDI00004,chebi,CHEBI:6030
CHENDI00005,pubchem.compound,97389
CHENDI00006,pubchem.compound,54682951
CHENDI00007,pubchem.compound,1274030
CHENDI00008,,
CHENDI00009,chebi,CHEBI:90
CHENDI00010,chebi,CHEBI:16731
CHENDI00011,chebi,CHEBI:41977
CHENDI00012,chebi,CHEBI:28748
CHENDI00013,chebi,CHEBI:42223
CHENDI00014,chebi,CHEBI:6872
CHENDI00015,chebi,CHEBI:18152
CHENDI00016,chebi,CHEBI:37495
CHENDI00017,chebi,CHEBI:8830
CHENDI00018,chebi,CHEBI:29693
CHENDI00019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3724657/figure/F1/
CHENDI00020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3724657/figure/F1/
CHENDI00021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3724657/figure/F1/
CHENDI00022,pubchem.compound,5359405
CHENDI00023,chebi,CHEBI:17660
CHENDI00024,pubchem.compound,4592
CHENDI00025,pubchem.compound,11313622
CHENDI00026,,
CHENDI00027,chebi,CHEBI:4806
CHENDI00028,pubchem.compound,14090
CHENDI00028,chebi,CHEBI:88868
CHENDI00029,chebi,CHEBI:15367
CHENDI00030,chebi,CHEBI:138488
CHENDI00031,chebi,CHEBI:3312
CHENDI00032,chebi,CHEBI:59051
CHENDI00033,chebi,CHEBI:17270
CHENDI00034,mesh,D006247
CHENDI00034,chebi,CHEBI:28121
CHENDI00035,chebi,CHEBI:83275
CHENDI00036,chebi,CHEBI:63041
CHENDI00037,chebi,CHEBI:61488
CHENDI00038,chebi,CHEBI:18405
CHENDI00039,chebi,CHEBI:26710
CHENDI00040,chebi,CHEBI:28741
CHENDI00041,chebi,CHEBI:15738
CHENDI00042,,
CHENDI00043,chebi,CHEBI:64153
CHENDI00044,chebi,CHEBI:92211
CHENDI00045,chembl.compound,CHEMBL1213603
CHENDI00046,chebi,CHEBI:29073
CHENDI00047,chebi,CHEBI:31911
CHENDI00048,chebi,CHEBI:76004
CHENDI00049,chebi,CHEBI:17230
CHENDI00050,chebi,CHEBI:64312
CHENDI00051,chebi,CHEBI:45863
CHENDI00052,chebi,CHEBI:9168
CHENDI00053,chebi,CHEBI:16384
CHENDI00054,pubchem.compound,6675804
CHENDI00054,chebi,CHEBI:94166
CHENDI00055,chebi,CHEBI:82625
CHENDI00056,chebi,CHEBI:104872
CHENDI00057,chebi,CHEBI:9014
CHENDI00058,chebi,CHEBI:46024
CHENDI00059,chebi,CHEBI:45716
CHENDI00060,pubchem.compound,53340666
CHENDI00060,chebi,CHEBI:95073
CHENDI00061,,
CHENDI00062,,
CHENDI00063,chebi,CHEBI:132974
CHENDI00064,,
CHENDI00065,,
CHENDI00066,,
CHENDI00067,pubchem.compound,9549284
CHENDI00068,,
CHENDI00069,,
CHENDI00070,chebi,CHEBI:94186